140505,4/8/14,,,1,,10,,,,,,1,25,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,1,1,3,2,1,,1,,,1,1
140506,4/9/14,1,,,,10,,,,,,1,23,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,1,2,2,0,,,1,,0,0
140507,4/9/14,1,,,,10,,,,,1,,20,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,1,,1,2,2,0,,,1,,0,0
140508,4/9/14,1,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,0
140509,4/9/14,1,,,,10,,,,,1,,19,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,2,2,0,,,1,,0,0
140510,4/9/14,,1,,,15,1,,,,,,16,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,1,,,,,2,2,0,,,1,,0,0
140467,4/1/14,,1,,,10,1,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0,0
140466,4/1/14,1,,,,15,1,,,,,,16,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,1,3,2,1,,1,,,1,1
140461,4/1/14,1,,,,10,1,,,,,,16,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,1,4,3,1,,1,,,1,1
140511,4/9/14,1,,,,40,,,,,,1,22,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,3,,,,,,,,,,,,,,,,,,,1,1,4,3,1,,1,,,1,1
140512,4/9/14,1,,,,100,1,,,,,,14,1,1,1,,1,,,1,,,,,,1,,,,,,,1,,,,1,,,,1,1,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,1,5,2,3,,1,,,1,1
140513,4/9/14,,1,,,10,1,,,,,,13,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,0,,,1,,0,0
140514,4/9/14,,,1,,35,,,,,,1,22,,,,,1,1,1,1,1,,,,,,1,,1,,,,,,,1,,,,,1,1,1,1,1,,2,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,0,0
140515,4/10/14,1,,,,10,,,1,,,,17,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,3,,,,,,,,,,,,,,,1,,,,,,3,3,0,,,1,,1,0
140516,4/10/14,1,,,,10,,,,,1,,18,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,3,,,,,,,,,,,,,,,,,,,1,1,2,2,0,,,1,,0,0
140517,4/10/14,1,,,,10,,,,,1,,19,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,0,0
140519,4/10/14,,1,,,10,,,,,,1,33,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,2,1,1,,1,,,0,0
140518,4/10/14,,1,,,10,,,,,,1,33,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,,1,,,0,0
140521,4/10/14,,1,,,10,,,,,,1,55,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,,1,,,0,0
140523,4/10/14,,,,1,10,,,1,,,,17,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,1,1,,,,,,,,,,,,,,,,,,1,1,3,3,0,,,1,,1,1
140524,4/11/14,1,,,,20,,,,,1,,19,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,,,,,,,,,,,,,,,,,1,1,,1,4,3,1,,1,,,1,1
